datetime,open,high,low,close/last,volume,market_adjustment%,daily_difference%,label
2021-02-12,50.75,55.24,48.05,52.4,14573264,-2.658642721857955,8.462222339190642,Sell
2021-02-16,52.66,53.5,49.04,49.51,8175030,5.803579617332686,2.2192404244012147,Sell
2021-02-17,49.77,51.19,44.56,45.94,9260795,8.022820041733901,8.014705583245995,Sell
2021-02-18,48.49,48.87,40.65,40.69,23990555,16.037525624979896,-14.734527396169106,Buy
2021-02-19,41.28,43.89,38.5,40.59,14828238,1.30299822881079,-0.05807997573810675,Buy
2021-02-22,46.69,48.51,42.4,46.0,19476021,1.2449182530726832,-0.6149063528479083,Buy
2021-02-23,44.97,46.23,40.0,44.97,7565215,0.6300119002247749,-104.46264298057973,Buy
2021-02-24,44.7,91.71,44.7,91.71,83111740,-103.83263108035496,137.49985956141947,Sell
2021-02-25,169.56,184.68,101.0,108.73,150308766,33.667228481064505,-21.026462726859464,Buy
2021-02-26,117.46,142.9,86.0,101.74,92194154,12.640765754205042,-26.268469745998434,Buy
2021-03-01,104.54,133.99,99.97,120.4,49793965,-13.627703991793393,11.70435751171711,Sell
2021-03-02,116.93,133.2,112.2,118.18,33783044,-1.9233464800762832,-0.5855144469936882,Buy
2021-03-03,122.51,127.75,113.12,124.18,19273882,-2.5088609270699713,-4.682114762527864,Buy
2021-03-04,125.0,147.8699,115.3,132.35,32606893,-7.190975689597836,0.9991151237884717,Sell
2021-03-05,128.17,151.53,127.5,137.74,30733673,-6.191860565809364,-19.98044156127533,Buy
2021-03-08,154.89,210.8699,146.1,194.5,63565620,-26.172302127084695,13.37490126645316,Sell
2021-03-09,217.71,249.85,208.5101,246.9,39099331,-12.797400860631535,14.616844409099832,Sell
2021-03-10,269.43,348.5,172.0,265.0,71570566,1.8194435484682956,-8.809688912723047,Buy
2021-03-11,241.64,281.5,232.6,260.0,28312493,-6.9902453642547515,11.286752125978962,Sell
2021-03-12,274.9965,295.5,262.27,264.5,25845899,4.296506761724211,17.038376409395994,Sell
2021-03-15,277.52,283.0,206.0,220.14,24226187,21.334883171120204,-24.074727608608203,Buy
2021-03-16,203.16,220.7,172.35,208.17,35422867,-2.7398444374879993,7.0476227915555,Sell
2021-03-17,217.84,231.47,204.0,209.81,16481589,4.3077783540675005,0.45433530601601824,Sell
2021-03-18,214.0,218.88,195.65,201.75,11799914,4.762113660083519,-7.0826576473127805,Buy
2021-03-19,195.73,227.0,182.66,200.27,24677297,-2.320543987229262,8.183151594788331,Sell
2021-03-22,205.26,210.3562,186.1952,194.49,10061505,5.862607607559069,1.4243473711209997,Sell
2021-03-23,197.5,201.75,177.55,181.75,14429145,7.286954978680069,15.753372545609295,Sell
2021-03-24,157.98,166.97,118.62,120.34,24177877,23.040327524289363,-71.05983361771848,Buy
